embedding_model,llm_model,reranking_model,dataset,total,correct,incorrect,partially_correct,correct_percentage,incorrect_percentage,partially_correct_percentage
amazon.titan-embed-text-v2_0,anthropic.claude-3-5-sonnet-20240620-v1_0,,HuggingFace QA Dataset,65,63,2,0,96.92,3.08,0.0
amazon.titan-embed-text-v2_0,anthropic.claude-3-5-sonnet-20240620-v1_0,,PubMed filtered Dataset,13,8,0,5,61.54,0.0,38.46
amazon.titan-embed-text-v2_0,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,HuggingFace QA Dataset,65,62,3,0,95.38,4.62,0.0
amazon.titan-embed-text-v2_0,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,PubMed filtered Dataset,13,8,0,5,61.54,0.0,38.46
dunzhang_stella_en_1.5B_v5,anthropic.claude-3-5-sonnet-20240620-v1_0,,HuggingFace QA Dataset,65,64,1,0,98.46,1.54,0.0
dunzhang_stella_en_1.5B_v5,anthropic.claude-3-5-sonnet-20240620-v1_0,,PubMed filtered Dataset,13,9,0,4,69.23,0.0,30.77
dunzhang_stella_en_1.5B_v5,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,HuggingFace QA Dataset,65,63,2,0,96.92,3.08,0.0
dunzhang_stella_en_1.5B_v5,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,PubMed filtered Dataset,13,8,0,5,61.54,0.0,38.46
mixedbread-ai_mxbai-embed-large-v1,anthropic.claude-3-5-sonnet-20240620-v1_0,,HuggingFace QA Dataset,65,62,3,0,95.38,4.62,0.0
mixedbread-ai_mxbai-embed-large-v1,anthropic.claude-3-5-sonnet-20240620-v1_0,,PubMed filtered Dataset,13,8,1,4,61.54,7.69,30.77
mixedbread-ai_mxbai-embed-large-v1,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,HuggingFace QA Dataset,65,63,2,0,96.92,3.08,0.0
mixedbread-ai_mxbai-embed-large-v1,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,PubMed filtered Dataset,13,8,0,5,61.54,0.0,38.46
nvidia_NV-Embed-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,,HuggingFace QA Dataset,65,64,1,0,98.46,1.54,0.0
nvidia_NV-Embed-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,,PubMed filtered Dataset,13,9,1,3,69.23,7.69,23.08
nvidia_NV-Embed-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,HuggingFace QA Dataset,65,63,2,0,96.92,3.08,0.0
nvidia_NV-Embed-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,PubMed filtered Dataset,13,8,0,5,61.54,0.0,38.46
sentence-transformers_all-MiniLM-L6-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,,HuggingFace QA Dataset,65,50,15,0,76.92,23.08,0.0
sentence-transformers_all-MiniLM-L6-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,,PubMed filtered Dataset,13,6,3,4,46.15,23.08,30.77
sentence-transformers_all-MiniLM-L6-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,HuggingFace QA Dataset,65,58,7,0,89.23,10.77,0.0
sentence-transformers_all-MiniLM-L6-v2,anthropic.claude-3-5-sonnet-20240620-v1_0,colbert,PubMed filtered Dataset,13,5,3,5,38.46,23.08,38.46
